PRODUCT_CATEGORY,REVIEW_TEXT,SAMPLE_TYPE
Automotive,"These retractable ratchet straps work great.  They are well made and easy to use. I have not had any issues with them, but I don't think they would be a problem at all.",GUIDED
Home Entertainment,"Got this for the kids.  They love it!  It is a little smaller than I thought it would be, but they are very happy with it.",GUIDED
Video DVD,This works great with my Samsung Galaxy S4.  It has a lot of features that make it easy to set up and play DVDs on the go.,GUIDED
Musical Instruments,This instruments are very good sounding.  I don't know if it's because of the price or not.,GUIDED
Baby,"When I was a little kid, my dad would hang out in the backseat of his truck and not have to worry about it falling off.  So when he saw this one on Amazon, we were very happy with it! It's hard to put together because there are so many things you can't do if you don't have enough pieces. The only thing that kept me from doing was putting all the pieces together without worrying about it falling off (or something else).  It didn't fall off any more than once or twice as fast as some other car doors/traffic lights...it just sort of fell off into the middle of the garage around 5:45am.  This is where your baby learned how to assemble these properly.  If you're looking for an easy-to-use way to assemble them, look no further.  The main thing I like most about this product is its simplicity.",NON-GUIDED
Outdoors,"Definitely not good quality.  I bought this as a gift for my husband and he loves it.  It is very easy to set up, just put in the &#34;clamp&#34; of the box that comes with your door open.",GUIDED
Camera,"What a waste of my time and money.  I got this camera for my son to use on his Nikon D3, he loves it! Pros:<br />- Easy to setup<br />- Features are easy to set up<br />- Build quality is very good<br />- Camera takes some getting used to<br />- You can adjust the amount of light that goes into the camera.<br />- Battery life is about 2 hours<br />- The battery lasts longer than normal (about 3 months)<br />- It's not as bright as other cameras out there but you still get lots of light<br />- If you have any issues with batteries being lost or damaged, let me know in the comments section below if your experience has been negatively affected by this camera.",NON-GUIDED
Pet Products,I have been using this product for about 3 months now.  I am very happy with it and will be ordering more products in the future.,GUIDED
Musical Instruments,"insufficient info on how to set up your own mixer.  This is a great way to do it. I have been using this for about 2-3 months now, and the sound quality is excellent.",GUIDED
Video DVD,Arrived on time and was very easy to setup.  I would recommend this product for anyone who wants a portable DVD player.,NON-GUIDED
Baby,"The review  of this product was based on my experience with the Amazon Prime program.  However, I found that it would be a little difficult to find a way to pay for what you paid for.  My husband and I were able to get our order through Amazon without having to buy an additional item.",GUIDED
Baby,I gave it to my husband and he loves it.,GUIDED
Watches,I saw this one a few years ago and it was great.  It is very well made and looks nice on my wrist.  I will be buying more of these again.,GUIDED
Electronics,Our son loves to play with it.  It's so easy to put together that he can move it around and use it as a platform.,NON-GUIDED
Apparel,"Ok, I have a lot of stuff to put together but this one is perfect.  The colors are vibrant and the pattern is very easy to follow.  It's great that you can customize your outfit without having to worry about it falling apart.",NON-GUIDED
Jewelry,"It's a little hard to find in China, but it's definitely worth the wait.",NON-GUIDED
Office Products,"I go through many products and this one is the best.  I have had it for a couple of weeks now, with no problems.",GUIDED
Furniture,"Our good friends loved it, but we had to return it.  It was a little too big for us and the stitching on the back did not line up with what they were looking for.",GUIDED
Beauty,Anybody who has a hard time seeing eye contact with their eyes.,NON-GUIDED
